,name,lat,temp,humidity,cloudiness,wind_speed
212,Mukdahan,16.54,86.0,62,40,4.7
213,Goderich,43.74,30.22,88,80,15.48
214,Saint Anthony,43.97,2.88,79,20,3.62
215,Port-Gentil,-0.72,78.37,100,92,4.52
216,Sorland,67.67,23.0,100,0,4.7
217,Grindavik,63.84,37.4,86,75,12.75
218,Wanning,48.64,35.6,100,75,1.12
219,Guerrero Negro,27.97,60.68,97,36,6.76
220,Atar,20.52,62.39,28,0,7.65
221,Redding,40.59,43.74,85,1,4.7
222,Alta Floresta,-9.87,74.77,90,88,1.95
223,Richards Bay,-28.77,80.75,61,8,11.12
224,Placerville,38.73,47.21,76,90,3.36
225,Joshimath,30.57,-1.29,87,0,1.16
226,Isangel,-19.55,78.68,100,92,24.65
227,Lompoc,34.64,54.37,93,90,4.41
228,Atikokan,48.76,-4.08,76,0,4.41
229,Ayan,40.67,29.14,95,92,3.06
230,Mount Isa,-20.73,96.8,23,40,9.17
231,Xingcheng,40.62,11.9,64,0,6.98
232,Gizo,31.8,57.31,100,75,16.11
233,Isparta,37.77,37.4,74,40,17.22
234,Boden,65.83,5.0,92,8,2.28
235,Kavieng,-2.57,87.37,98,8,5.97
236,Rafaela,-31.25,67.93,60,36,6.42
237,Sibolga,1.74,74.32,95,56,0.6
238,Porec,45.23,42.89,93,8,8.05
239,Imeni Poliny Osipenko,52.42,-17.76,51,48,3.85
240,Wagrowiec,52.81,41.88,100,75,9.17
241,Dingle,11.0,83.18,73,44,16.04
242,Thunder Bay,48.41,-0.41,84,40,4.7
243,Horodyshche,50.76,26.6,92,0,6.71
244,Coronel Vivida,-25.98,69.01,59,0,8.99
245,Sandwick,54.57,48.2,100,92,12.75
246,Matay,28.42,43.94,93,0,3.06
247,Ossora,59.24,28.55,95,92,19.73
248,Esso,55.93,12.35,86,68,2.95
249,Eyl,7.98,77.74,100,100,10.78
250,Puerto Baquerizo Moreno,-0.9,73.69,100,32,13.58
251,Hoa Binh,20.81,78.8,69,75,10.29
252,Srandakan,-7.94,83.68,88,64,4.18
253,Fayetteville,36.06,37.65,72,90,10.29
254,Tiksi,71.64,-28.11,44,24,2.73
255,Jian,25.65,64.42,66,0,5.97
256,Daru,7.99,74.77,84,0,4.97
257,Saint-Pierre,48.95,51.82,93,90,16.11
258,Aasiaat,68.71,25.63,100,88,4.18
259,Ippy,6.26,62.39,67,0,6.64
260,Krasnyy Chikoy,50.36,-10.15,48,36,5.19
261,Paamiut,61.99,32.24,95,88,1.95
262,Homer,59.64,36.0,85,75,4.7
263,Maturin,9.75,78.68,62,0,7.2
264,Belaya Gora,68.54,-36.66,73,48,3.18
265,Bafoulabe,13.81,69.37,47,0,6.64
266,Ancud,-41.87,62.6,55,0,10.29
267,Nome,30.04,58.69,83,90,11.41
268,Liberal,37.04,27.1,69,1,4.7
269,Stephenville Crossing,48.5,24.8,79,90,4.7
270,Marshalltown,42.04,12.7,91,1,5.82
271,Lander,42.83,12.02,72,1,3.4
272,High Level,58.52,7.58,87,0,4.85
273,Sulangan,11.14,83.18,97,92,19.95
274,Imbituba,-28.24,68.0,77,75,10.29
275,Mayumba,-3.44,77.96,100,92,3.85
276,Cap-aux-Meules,47.38,26.6,92,90,3.36
277,Hambantota,6.12,78.8,100,75,6.93
278,Katangli,51.71,2.41,100,24,12.68
279,Taman,45.22,32.0,100,92,2.24
280,Hamilton,43.26,25.79,92,40,8.05
281,Udachnyy,66.42,-7.95,61,68,3.74
282,Novyy Nekouz,57.91,22.12,92,68,4.63
283,Catuday,16.29,84.22,91,0,4.97
